id,value
ebola,
ebola.saved,
ebola.saved.percentage,
ebola.saved.percentage.Guinea,3300
ebola.saved.percentage.Liberia,5500
ebola.saved.percentage.SierraLeone,7200
ebola.saved.percentage.Liberia2,6600
ebola.saved.percentage.Guinea2,2000
ebola.saved.percentage.Italy,10000
ebola.saved.percentage.UnitedKingdom,10000
ebola.saved.percentage.Mali,2500
ebola.saved.percentage.Nigeria,6000
ebola.saved.percentage.Senegal,10000
ebola.saved.percentage.Spain,10000
ebola.saved.percentage.UnitedStatesOfAmerica,7500
