Ticker,Name,Weight,Sector
AMZN,AMAZON COM INC,2.8051,Consumer_Discretionary
CMCSA,COMCAST A CORP,1.4121,Consumer_Discretionary
F,F MOTOR,0.3515,Consumer_Discretionary
GM,GENERAL MOTORS,0.365,Consumer_Discretionary
HD,HOME DEPOT INC,1.4225,Consumer_Discretionary
LOW,LOWES COMPANIES INC,0.5664,Consumer_Discretionary
MCD,MCDONALDS CORP,0.857,Consumer_Discretionary
NKE,NIKE INC CLASS B,0.5869,Consumer_Discretionary
SBUX,STARBUCKS CORP,0.6875,Consumer_Discretionary
TGT,TARGET CORP,0.2383,Consumer_Discretionary
PCLN,THE PRICELINE GROUP INC,0.6797,Consumer_Discretionary
TWX,TIME WARNER INC,0.608,Consumer_Discretionary
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,0.257,Consumer_Discretionary
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,0.1174,Consumer_Discretionary
DIS,WALT DISNEY,1.3112,Consumer_Discretionary
MO,ALTRIA GROUP INC,1.0874,Consumer_Staples
KO,COCA-COLA,1.3073,Consumer_Staples
CL,COLGATE-PALMOLIVE,0.5073,Consumer_Staples
COST,COSTCO WHOLESALE CORP,0.5864,Consumer_Staples
CVS,CVS HEALTH CORP,0.6397,Consumer_Staples
KHC,KRAFT HEINZ,0.431,Consumer_Staples
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.5392,Consumer_Staples
PEP,PEPSICO INC,1.2729,Consumer_Staples
PM,PHILIP MORRIS INTERNATIONAL INC,1.3397,Consumer_Staples
PG,PROCTER & GAMBLE,1.7931,Consumer_Staples
WBA,WALGREEN BOOTS ALLIANCE INC,0.5634,Consumer_Staples
WMT,WALMART STORES INC,0.8844,Consumer_Staples
CVX,CHEVRON CORP,1.5589,Energy
COP,CONOCOPHILLIPS,0.4653,Energy
XOM,EXXON MOBIL CORP,2.6374,Energy
HAL,HALLIBURTON,0.3246,Energy
KMI,KINDER MORGAN INC,0.3123,Energy
OXY,OCCIDENTAL PETROLEUM CORP,0.3716,Energy
SLB,SCHLUMBERGER NV,0.8375,Energy
ALL,ALLSTATE CORP,0.2295,Financials
AXP,AMERICAN EXPRESS,0.4757,Financials
AIG,AMERICAN INTERNATIONAL GROUP INC,0.436,Financials
BAC,BANK OF AMERICA CORP,1.8159,Financials
BK,BANK OF NEW YORK MELLON CORP,0.38,Financials
BRKB,BERKSHIRE HATHAWAY INC CLASS B,2.4603,Financials
BLK,BLACKROCK INC,0.3646,Financials
COF,CAPITAL ONE FINANCIAL CORP,0.316,Financials
C,CITIGROUP INC,1.2707,Financials
GS,GOLDMAN SACHS GROUP INC,0.6344,Financials
JPM,JPMORGAN CHASE & CO,2.3993,Financials
MET,METLIFE INC,0.442,Financials
MS,MORGAN STANLEY,0.4795,Financials
USB,US BANCORP,0.6337,Financials
WFC,WELLS FARGO,1.8916,Financials
ABT,ABBOTT LABORATORIES,0.5967,Health_Care
ABBV,ABBVIE INC,0.7982,Health_Care
AGN,ALLERGAN,0.6263,Health_Care
AMGN,AMGEN INC,0.937,Health_Care
BIIB,BIOGEN INC INC,0.4618,Health_Care
BMY,BRISTOL MYERS SQUIBB,0.7019,Health_Care
CELG,CELGENE CORP,0.753,Health_Care
DHR,DANAHER CORP,0.3971,Health_Care
LLY,ELI LILLY,0.6247,Health_Care
GILD,GILEAD SCIENCES INC,0.6825,Health_Care
JNJ,JOHNSON & JOHNSON,2.5964,Health_Care
MDT,MEDTRONIC PLC,0.8708,Health_Care
MRK,MERCK & CO INC,1.3484,Health_Care
PFE,PFIZER INC,1.5768,Health_Care
UNH,UNITEDHEALTH GROUP INC,1.2956,Health_Care
MMM,3M,0.8949,Industrials
BA,BOEING,0.8019,Industrials
CAT,CATERPILLAR INC,0.4359,Industrials
EMR,EMERSON ELECTRIC,0.2997,Industrials
FDX,FEDEX CORP,0.359,Industrials
GD,GENERAL DYNAMICS CORP,0.4203,Industrials
GE,GENERAL ELECTRIC,2.0736,Industrials
HON,HONEYWELL INTERNATIONAL INC,0.7398,Industrials
LMT,LOCKHEED MARTIN CORP,0.5329,Industrials
RTN,RAYTHEON,0.3541,Industrials
UNP,UNION PACIFIC CORP,0.6894,Industrials
UPS,UNITED PARCEL SERVICE INC CLASS B,0.5711,Industrials
UTX,UNITED TECHNOLOGIES CORP,0.6705,Industrials
ACN,ACCENTURE PLC CLASS A,0.5828,Information_Technology
GOOGL,ALPHABET INC CLASS A,2.0066,Information_Technology
GOOG,ALPHABET INC CLASS C,1.9528,Information_Technology
AAPL,APPLE INC,5.8677,Information_Technology
CSCO,CISCO SYSTEMS INC,1.2909,Information_Technology
FB,FACEBOOK CLASS A INC,2.6592,Information_Technology
INTC,INTEL CORPORATION CORP,1.3431,Information_Technology
IBM,INTERNATIONAL BUSINESS MACHINES CO,1.0938,Information_Technology
MA,MASTERCARD INC CLASS A,0.8477,Information_Technology
MSFT,MICROSOFT CORP,3.9741,Information_Technology
ORCL,ORACLE CORP,1.0479,Information_Technology
PYPL,PAYPAL HOLDINGS INC,0.3853,Information_Technology
QCOM,QUALCOMM INC,0.6107,Information_Technology
TXN,TEXAS INSTRUMENT INC,0.6339,Information_Technology
V,VISA INC CLASS A,1.3298,Information_Technology
DOW,DOW CHEMICAL,0.5429,Materials
DD,E I DU PONT DE NEMOURS,0.5315,Materials
MON,MONSANTO,0.3984,Materials
SPG,SIMON PROPERTY GROUP REIT INC,0.4388,Real_Estate
T,AT&T INC,1.9462,Telecommunications
VZ,VERIZON COMMUNICATIONS INC,1.5494,Telecommunications
DUK,DUKE ENERGY CORP,0.4506,Utilities
EXC,EXELON CORP,0.255,Utilities
NEE,NEXTERA ENERGY INC,0.4804,Utilities
SO,SOUTHERN,0.3873,Utilities
